130;7;Время свинга / Swing Time;1936;;;104
131;1;Великая иллюзия / La Grande Illusion;1937;;44;128
132;2;Река / The River;1937;;39;227
133;2;Испанская земля / The Spanish Earth;1937;;39;139
134;9;Ужасная правда / The Awful Truth;1937;;;175
135;5;Благословенная земля / The Good Earth;1937;;;270
136;3;Стелла Даллас / Stella Dallas;1937;;;153
137;3;Дверь на сцену / Stage Door;1937;;;68
138;1;Александр Невский;1938;;38;266
139;2;Олимпия / Olympia;1938;;12;174
140;9;Воспитание Крошки / Bringing Up Baby;1938;;;325
141;6;Ангелы с грязными лицами / Angels with Dirty Faces;1938;;;185
142;1;День начинается / Le Jour se leve;1939;;44;197
143;1;Мистер Смит едет в Вашингтон / Mr. Smith Goes to Washington;1939;;39;320
144;1;Правила игры / La Regle du jeu;1939;;44;128
145;2;Город / The City;1939;;39;291
146;5;Унесённые ветром / Gone With the Wind;1939;;;46
147;6;Ревущие двадцатые / The Roaring Twenties;1939;;;240
148;4;Молодой мистер Линкольн / Young Mr. Lincoln;1939;;;98
149;7;Волшебник страны Оз / The Wizard of Oz;1939;;;46
150;10;Дилижанс / Stagecoach;1939;;;98
151;1;Еврей Зюсс / Jud Suss;1940;;12;300
152;1;Багдадский вор / Thief of Bagdad;1940;;9;186
153;3;Танцуй девочка танцуй / Dance Girl Dance;1940;;;109
154;2;Вечный жид / Der ewige Jude;1940;;12;318
155;9;Филадельфийская история / The Philadelphia Story;1940;;;101
156;9;Его девушка Пятница / His Girl Friday;1940;;;325
157;3;Ребекка / Rebecca;1940;;;19
158;1;Гражданин Кейн / Citizen Kane;1941;;39;223
159;2;Слушайте Британию / Listen to Britain;1941;;9;322
160;9;Странствия Салливана / Sullivan’s Travels;1941;;;235
161;9;Леди Ева / The Lady Eve;1941;;;235
162;11;Мальтийский сокол / The Maltese Falcon;1941;;;100
163;3;Вперед путешественник / Now Voyager;1942;;;140
164;2;Почему мы сражаемся / Why We Fight;1942;;39;320
165;2;Битва за Россию / The Battle of Russia;1942;;39;20
166;4;Миссис Миннивер / Mrs. Miniver;1942;;;292
167;4;Касабланка / Casablanca;1942;;;185
168;8;Люди-кошки / Cat People;1942;;;125
169;1;День гнева / Vredens dag;1943;;15;147
170;1;Ворон / Le Corbeau;1943;;44;23
171;2;Начались пожары / Fires Were Started;1943;;9;322
172;8;Седьмая жертва / The Seventh Victim;1943;;;194
173;1;Иван Грозный. 1 серия;1944;;38;266
174;2;Битва под Сан-Пьетро / The Battle of San Pietro;1944;;39;100
175;11;Двойная страховка / Double Indemnity;1944;;;37
176;11;Лаура / Laura;1944;;;225
177;11;Леди-призрак / Phantom Lady;1944;;;254
178;1;Дети райка / Les Enfants du Paradis;1945;;44;197
179;1;Рим. открытый город / Roma. citta aperta;1945;;21;257
180;1;Короткая встреча / Brief Encounter;1945;;9;116
181;7;Встреть меня в Сент-Луисе / Meet Me in St. Louis;1945;;;50
182;11;Объезд / Detour;1945;;;343
183;3;Милдред Пирс / Mildred Pierce;1945;;;185
184;1;Земляк / Paisa;1946;;21;257
185;1;Убийцы среди нас / Die Morder sind unter uns;1946;;12;53
186;2;Да будет свет / Let There Be Light;1946;;39;100
